"","FAO_Region","Anisakis_TimeEffect","Anisakis_p","Anisakis_FAO_Influence","Pseudoterranova_Influence","Anisakis_FAOBurden","Pseudoterranova_FAOBurden"
"1","21",0.0211049528134584,0.00533099957022639,0.000486254114746929,-0.00772416527809209,0.00796993466572243,-1.04199870675843e-07
"2","27",0.0140498958594308,0.0502597109690341,-0.00656880283928071,0.0149241704203228,0.1128469200354,-2.32053702309623e-08
"3","31",0.0201063738768392,0.00334674476587408,-0.000512324821872273,-0.00189564844935921,-0.216915548065715,4.01268116153879e-08
"4","34",0.0208775192670081,0.00320986648110511,0.000258820568296583,0.000616753716716598,0.100502948638358,-1.42644036480047e-08
"5","37",0.0273507124563852,7.91169720223771e-06,0.00673201375767375,NA,-0.405309595260642,NA
"6","41",0.0217798414988712,0.00219167823555227,0.00116114280015974,0.0027212373247044,-0.0766495206351676,-8.39237570086682e-08
"7","47",0.019865474196479,0.00417655818199213,-0.000753224502232502,2.2087303792895e-05,0.0447140898669853,1.63018727597752e-10
"8","48",0.0183187469075312,0.0287774759924761,-0.00229995179118025,0.0081143766831791,-0.117861008166907,1.64071013429359e-07
"9","57",0.0209438870515209,0.00307175402979677,0.000325188352809442,NA,0.0257621692812626,NA
"10","61",0.020110454408541,0.00346838936582065,-0.000508244290170455,NA,0.0566947092888191,NA
"11","67",0.0214255524714208,0.00235622331669962,0.000806853772709358,NA,0.115422906814992,NA
"12","71",0.020715338453538,0.00288442541824944,9.66397548264955e-05,NA,-0.0083383935821773,NA
"13","77",0.0197531615426237,0.00279223205467628,-0.000865537156087771,0.000168213955113279,0.261637811340189,-3.45935732751963e-09
"14","81",0.0211977050032791,0.00221242339088243,0.000579006304567621,NA,0.0698223524795927,NA
"15","87",0.0204467990645683,0.00338117381723192,-0.000171899634143151,-0.00104437515460877,0.0297002232993107,2.46919151186428e-08
