DataSpecies,Scientific,Fish
Merluccis merluccius,Merluccius merluccius,1
Scomber japonicus,Scomber japonicus,1
Onchorhynchus nerka,Oncorhynchus nerka,1
Onchorhynchus kitsutch,Oncorhynchus kisutch,1
Onchorhynchus tshawytscha,Oncorhynchus tshawytscha,1
Salmo salar,Salmo salar,1
Sepia officinalis,Sepia officinalis,0
Sepia elegans,Sepia elegans,0
Sepia orbignyana,Sepia orbignyana,0
Alloteuthis subulata,Alloteuthis subulata,0
Todaropsis eblane,Todaropsis eblanae,0
Illex coindetii,Illex coindetii,0
Todarodes sagittatus,Todarodes sagittatus,0
Prionace glauca,Prionace glauca,1
Scyliorhinus canicula,Scyliorhinus canicula,1
Conger conger,Conger conger,1
Belone belone,Belone belone,1
Sardina pilchardus,Sardina pilchardus,1
Micromesistius poutassou,Micromesistius poutassou,1
Molva dypterygia,Molva dypterygia,1
Pollachius pallachius,Pollachius pollachius,1
Trisopterus luscus,Trisopterus luscus,1
Lophius piscatorius,Lophius piscatorius,1
Ammodytes tobianus,Ammodytes tobianus,1
Brama brama,Brama brama,1
Callionimus lyra,Callionymus lyra,1
Coris julis,Coris julis,1
Diplodus sargus,Diplodus sargus,1
Hyperoplus lanceolatus,Hyperoplus lanceolatus,1
Mugil labeo,Oedalechilus labeo,1
Mullus surmuletus,Mullus surmuletus,1
Scomber scombrus,Scomber scombrus,1
Sparus aurata,Sparus aurata,1
Spondyliosoma cantharus,Spondyliosoma cantharus,1
Symphodus melops,Symphodus melops,1
Trachurus trachurus,Trachurus trachurus,1
Lepidorhombus boscii,Lepidorhombus boscii,1
Eutrigla gurnadus,Eutrigla gurnardus,1
Scorpaena scrofa,Scorpaena scrofa,1
Labrus bergylta,Labrus bergylta,1
Merluccius hubbsi,Merluccius hubbsi,1
Parachaenichthys charcoti,Parachaenichthys charcoti,1
Chaenocephalus aceratus,Chaenocephalus aceratus,1
Chionodraco rastrospinosus,Chionodraco rastrospinosus,1
Psuedochaenichthys georgianus,Pseudochaenichthys georgianus,1
Paradiplospinus gracilis,Paradiplospinus gracilis,1
Muraenolepis microps,Muraenolepis microps,1
Gobionotothen gibberifrons,Gobionotothen gibberifrons,1
Lepidonotothen larseni,Nototheniops larseni,1
Lepidonotothen nudifrons,Lindbergichthys nudifrons,1
Lepidonotothen squamifrons,Lepidonotothen squamifrons,1
Notothenia coriiceps,Notothenia coriiceps,1
Trematomus eulepidotus,Trematomus eulepidotus,1
Gadus morhua,Gadus morhua,1
Sebastes marinus,Sebastes norvegicus,1
Epinephelus morio,Epinephelus morio,1
Merlangius merlangus,Merlangius merlangus,1
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,1
Anguilla anguilla,Anguilla anguilla,1
Clupea harengus,Clupea harengus,1
Engraulis encrasicolus,Engraulis encrasicolus,1
Percophis brasiliensis,Percophis brasiliensis,1
Platichthys flesus,Platichthys flesus,1
Loligo gahi,Doryteuthis gahi ,0
Aphanopus carbo,Aphanopus carbo,1
Trachurus picturatus,Trachurus picturatus,1
Scomber japonicus colias,Scomber colias,1
Boops boops,Boops boops,1
Diplodus anulans,Diplodus annularis,1
Mullus barbatus,Mullus barbatus barbatus,1
Pagellus erithrinus,Pagellus erythrinus,1
Sardinella aurita,Sardinella aurita,1
Spicara smaris,Spicara smaris,1
Notoscopelus kroyeri,Notoscopelus kroyeri,1
Myctophum punctatum,Myctophum punctatum,1
Thunnus thynnus,Thunnus thynnus,1
Lepidopus caudatus,Lepidopus caudatus,1
Pagellus bogaraveo,Pagellus bogaraveo,1
Phycis blennoides,Phycis blennoides,1
Phycis phycis,Phycis phycis,1
Pleuronectes americanus,Pseudopleuronectes americanus,1
Etmopterus spinax,Etmopterus spinax,1
Hippoglossoides platessoides,Hippoglossoides platessoides,1
Pseudopercis semifascinata,Pseudopercis semifasciata,1
Hexanematichthys assimilis,Hexanematichthys assimilis,1
Oligoplites saurus,Oligoplites saurus,1
Scomberomorus maculatus,Scomberomorus maculatus,1
Eugerres plumieri,Eugerres plumieri,1
Eleutheronema tetradactylum,Eleutheronema tetradactylum,1
Maurolicus muelleri,Maurolicus muelleri,1
Oncorhynchus keta,Oncorhynchus keta,1
Macrourus berglax,Macrourus berglax,1
Sebastes capensis,Sebastes capensis,1
Rexea solandri,Rexea solandri,1
Xiphias gladius,Xiphias gladius,1
Helicolenus dactylopterus,Helicolenus dactylopterus,1
Lampanyctus macdonaldi,Lampanyctus macdonaldi,1
Chauliodus sloani,Chauliodus sloani,1
Benthosema glaciale,Benthosema glaciale,1
Poromitra crassiceps,Poromitra crassiceps,1
Scopelogadus beanii,Scopelogadus beanii,1
Scopelogadus mizolepis mizolepis,Scopelogadus mizolepis,1
Coryphaenoides mediterraneus,Coryphaenoides mediterraneus,1
Gymnoscopelus nicholsi,Gymnoscopelus nicholsi,1
Electrona carlsbergi,Electrona carlsbergi,1
Electrona antarctica,Electrona antarctica,1
Mora moro,Mora moro,1
Merlangius merlangus euximas,Merlangius merlangus,1
Mullus barbatus ponticus,Mullus barbatus ponticus,1
Sprattus sprattus,Sprattus sprattus,1
Mugil cephalus,Mugil cephalus,1
Sarda sarda,Sarda sarda,1
Alosa fallax,Alosa fallax,1
Spicara maena,Spicara maena,1
Pomatomus saldator,Pomatomus saltator,1
Neogobius melanostomus,Neogobius melanostomus,1
Psetta maxima,Scophthalmus maximus,1
Dicentrarchus labrax,Dicentrarchus labrax,1
Oncorhynchus mykiss,Oncorhynchus mykiss,1
Scomber japonicas,Scomber japonicus,1
Diplodus annularis,Diplodus annularis,1
Sarpa salpa,Sarpa salpa,1
Zeus faber,Zeus faber,1
Trachurus mediterraneus,Trachurus mediterraneus,1
Mullus barbatus,Mullus barbatus barbatus,1
Sphyraena sphyraena,Sphyraena sphyraena,1
Pagellus erythrinus,Pagellus erythrinus,1
Liza ramada,Liza ramada,1
Umbrina cirrosa,Umbrina cirrosa,1
Cynoscion guatucupa,Cynoscion guatucupa,1
Epinephelus areolatus,Epinephelus areolatus,1
Anoplogaster corunata,Anoplogaster cornuta,1
Gaidropsarus granti,Gaidropsarus granti,1
Arctogadus glacialis,Arctogadus glacialis,1
Borerogadus saida,Boreogadus saida,1
Citharichthys sordidus,Citharichthys sordidus,1
Bathylagus euryops,Bathylagus euryops,1
Argentina silus,Argentina silus,1
Borostomias antarcticus,Borostomias antarcticus,1
Clupea harengus pallasi,Clupea pallasi,1
Sebastes fasciatus,Sebastes fasciatus,1
Sebastes mentella,Sebastes mentella,1
Myoxocephalus scorpius,Myoxocephalus scorpius,1
Notolepis sp,Notolepis sp,1
Micromesistius australis,Micromesistius australis,1
Dissostichus mawsoni,Dissostichus mawsoni,1
Lepidonotothen kempi,Lepidonotothen squamifrons,1
Nototheniops nybelini,Nototheniops nybelini,1
Notothenia rossii,Notothenia rossii,1
Pleuragramma antarcticum,Pleuragramma antarctica,1
Trematomus lepidorhinus,Trematomus lepidorhinus,1
Pogonophryne marmoratta,Pogonophryne marmorata,1
Chaenodraco wilsoni,Chaenodraco wilsoni,1
Champsocephalus gunnari,Champsocephalus gunnari,1
Chionodraco hamatus,Chionodraco hamatus,1
Cryodraco antarcticus,Cryodraco antarcticus,1
Neopagetopsis ionah,Neopagetopsis ionah,1
Pagetopsis macropterus,Pagetopsis macropterus,1
Pseudochaenichthys georgianus,Pseudochaenichthys georgianus,1
Lycenchelys aratrirostris,Lycenchelys aratrirostris,1
Lepidonotothen nudifrons,Lindbergichthys nudifrons,1
Trematomus newnesi,Trematomus newnesi,1
Trematomus bernacchii,Trematomus bernacchii,1
Trematomus hansoni,Trematomus hansoni,1
Gymnodraco acuticeps,Gymnodraco acuticeps,1
Acanthodraco dewitti,Acanthodraco dewitti,1
Gymnoscopelus nicholsi,Gymnoscopelus nicholsi,1
Harpagifer antarcticus,Harpagifer antarcticus,1
Ceratoscopelus maderensis,Ceratoscopelus maderensis,1
Lampanyctus crocodilus,Lampanyctus crocodilus,1
Notoscopelus elongatus,Notoscopelus elongatus,1
Lobianchiha dofleini,Lobianchia dofleini,1
Diaphus holti,Diaphus holti,1
Hygophum benoiti,Hygophum benoiti,1
Alloteuthis media,Alloteuthis media,0
Sepietta oweniana,Sepietta oweniana,0
Genyonemus lineatus,Genyonemus lineatus,1
Scomber australasicus,Scomber australasicus,1
Caulolatilus princeps,Caulolatilus princeps,1
Centrophorus squamosus,Centrophorus squamosus,1
Pagrus pagrus,Pagrus pagrus,1
Aphos porosus,Aphos porosus,1
Raja microocellata,Raja microocellata,1
Raja brachyura,Raja brachyura,1
Myoxocephalus scorpius scorpius,Myoxocephalus scorpius,1
Mallotus villosus,Mallotus villosus,1
Osmerus eperlanus,Osmerus eperlanus,1
Syacium gunteri,Syacium gunteri,1
Macruronus magellanicus,Macruronus magellanicus,1
Genypterus blacodes,Genypterus blacodes,1
Raneya brasiliensis,Raneya brasiliensis,1
Cottoperca gobio,Cottoperca gobio,1
Seriolella porosa,Seriolella porosa,1
Nemadactylus bergi,Nemadactylus bergi,1
Mullus argentinae,Mullus argentinae,1
Patagonotothen ramsayi,Patagonotothen ramsayi,1
Acanthistius patachonicus,Acanthistius patachonicus,1
Stromateus brasiliensis,Stromateus brasiliensis,1
Paralichthys isosceles,Paralichthys isosceles,1
Xystreurys rasile,Xystreurys rasile,1
Congiopodus peruvianus,Congiopodus peruvianus,1
Helicolenus lahillei,Helicolenus lahillei,1
Prionotus nudigula,Prionotus nudigula,1
Barbus capito,Luciobarbus capito,1
Rutilus frisii kutum,Rutilus kutum,1
Neogobius kessleri,Ponticola kessleri,1
Neogobius caspius,Neogobius caspius,1
Neogobius bathybius,Ponticola bathybius,1
Neogobius fluviatilis,Neogobius fluviatilis,1
Hypomesus pretiosus,Hypomesus pretiosus,1
Salmo trutta trutta,Salmo trutta,1
Scomber colias,Scomber colias,1
Sebastes miniatus,Sebastes miniatus,1
Plagioscion squamosissimus,Plagioscion squamosissimus,1
Hippoglossus hippglossus,Hippoglossus hippoglossus,1
Thyrsites atun,Thyrsites atun,1
Chiasmodon harteli,Chiasmodon harteli,1
Acipenser persicus,Acipenser persicus,1
Lophius budegassa,Lophius budegassa,1
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,1
Lagocephalus sceleratus,Lagocephalus sceleratus,1
Raja radiata,Amblyraja radiata,1
Raja hyperborea,Amblyraja hyperborea,1
Bathyraja spinicauda,Bathyraja spinicauda,1
Acipenser gueldenstaedti,Acipenser gueldenstaedtii,1
Acipenser nudiventris,Acipenser nudiventris,1
Huso huso,Huso huso,1
Salmo trutta,Salmo trutta,1
Trematomus scotti,Trematomus scotti,1
Trematomus lepidorhinus,Trematomus lepidorhinus,1
Chiondraco myersi,Chionodraco myersi,1
Dolloidraco longedorsalis,Dolloidraco longedorsalis,1
Cygnodraco mawsoni,Cygnodraco mawsoni,1
Gerlachea australis,Gerlachea australis,1
Racovitzia glacialis,Racovitzia glacialis,1
Chionodraco myersi,Chionodraco myersi,1
Pagetopsis maculatus,Pagetopsis maculatus,1
